Age,Gender,Dependent,Education_Level,Income,Months_on_book,Total_Relationship_Count,Credit Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Change in Transaction Count,Avg Utilization Ratio
51,F,1,Graduate,$40K - $60K,36,3,8840,1794,7046,0.848,2839,47,0.808,0.203
60,M,0,Uneducated,Less than $40K,52,5,2595,2189,406,0.276,1562,27,0.174,0.844
58,F,2,Uneducated,$40K - $60K,49,3,6175,1166,5009,0.803,1417,25,0.25,0.189
39,F,1,Graduate,Less than $40K,29,4,1438.3,949,489.3,0.736,4222,65,0.667,0.66
40,F,2,Graduate,Unknown,30,5,1438.3,0,1438.3,0.542,2258,59,0.788,0
53,F,2,Graduate,$40K - $60K,42,3,3024,1649,1375,0.587,4463,89,0.679,0.545
49,M,3,Uneducated,$80K - $120K,40,5,2509,450,2059,0.654,2239,47,0.621,0.179
43,F,3,Unknown,Less than $40K,24,6,5544,1095,4449,0.572,3829,55,0.964,0.198
50,F,5,Graduate,Less than $40K,41,3,1438.3,0,1438.3,0.683,4550,78,0.857,0
27,F,1,Post-Graduate,Less than $40K,13,3,1438.3,990,448.3,0.715,3855,73,1.147,0.688
48,F,3,Graduate,Less than $40K,43,5,2109,1205,904,0.514,2935,60,0.935,0.571
45,M,3,Graduate,$60K - $80K,34,5,34516,1664,32852,0.73,4912,80,0.739,0.048
46,M,5,College,$60K - $80K,39,3,24248,1020,23228,1.19,3311,84,0.75,0.042
43,M,1,Unknown,$80K - $120K,33,5,21165,735,20430,0.624,3343,60,0.667,0.035
47,F,4,Uneducated,$40K - $60K,34,2,23981,0,23981,0.196,4536,61,0.605,0
58,F,3,Graduate,Less than $40K,48,6,2800,1834,966,0.615,1571,36,0.636,0.655
53,F,3,Graduate,Unknown,45,6,1882,0,1882,0.8,5221,87,0.891,0
47,F,4,Uneducated,$40K - $60K,36,1,1438.3,0,1438.3,0.61,5216,78,0.66,0
44,M,1,Uneducated,$80K - $120K,29,4,13298,1694,11604,0.824,3476,66,0.784,0.127
43,F,3,Unknown,Unknown,37,2,16583,1797,14786,0.889,7823,87,0.673,0.108
46,F,2,College,Less than $40K,36,3,1438.3,0,1438.3,0.757,5005,79,0.795,0
30,M,2,High School,Less than $40K,23,4,2997,1393,1604,1.12,1577,35,0.522,0.465
44,F,4,Uneducated,Unknown,24,6,2717,1720,997,0.869,4196,71,0.614,0.633
50,F,0,Graduate,Less than $40K,36,5,7238,2111,5127,1.085,2025,36,1.118,0.292
37,M,3,Unknown,$60K - $80K,30,6,16043,0,16043,1.509,2599,47,1.136,0
62,M,0,Unknown,Less than $40K,36,3,3653,1769,1884,0.825,4423,67,0.763,0.484
40,F,2,Graduate,Less than $40K,29,5,2636,1953,683,0.916,4584,70,0.591,0.741
54,M,2,Post-Graduate,$120K +,45,3,5597,0,5597,0.596,4844,58,0.871,0
41,F,3,Unknown,Less than $40K,29,4,1966,1452,514,0.621,4666,74,0.682,0.739
37,M,1,Unknown,$60K - $80K,19,6,18951,1243,17708,1.148,2874,58,0.657,0.066
26,M,1,High School,$40K - $60K,13,6,1473,0,1473,0.813,2099,39,0.857,0
54,F,2,High School,Unknown,45,5,7563,1465,6098,0.511,4175,67,0.718,0.194
39,M,2,Graduate,$60K - $80K,24,2,21679,1073,20606,0.745,15581,115,0.797,0.049
48,F,3,High School,Less than $40K,43,3,1670,0,1670,0.707,2790,37,0.321,0
44,F,5,High School,Less than $40K,30,3,2709,1726,983,0.698,5056,89,0.78,0.637
65,M,1,High School,Less than $40K,54,3,4599,1438,3161,0.832,4208,69,0.865,0.313
43,M,2,High School,$120K +,23,3,34516,1153,33363,0.89,4486,71,0.69,0.033
45,M,4,Unknown,$60K - $80K,36,5,15100,2004,13096,0.9,4135,76,0.689,0.133
30,F,0,High School,Unknown,25,4,12917,1157,11760,0.668,4108,82,0.745,0.09
43,F,2,Graduate,Less than $40K,35,3,4092,622,3470,0.775,5001,88,0.492,0.152
64,M,0,Graduate,Less than $40K,52,2,3570,2517,1053,0.69,3289,47,0.958,0.705
38,F,2,Graduate,Unknown,30,4,19595,610,18985,0.582,4079,65,0.585,0.031
61,M,0,High School,$80K - $120K,50,4,2800,2448,352,0.549,1433,40,0.481,0.874
42,F,3,Unknown,$40K - $60K,36,3,3015,0,3015,0.927,4277,80,0.951,0
43,F,1,High School,Less than $40K,35,3,10514,1580,8934,0.504,1229,27,0.8,0.15
44,M,3,Graduate,$40K - $60K,40,2,9502,2457,7045,0.915,2310,57,0.676,0.259
37,F,3,Graduate,Less than $40K,31,3,2005,1517,488,0.729,2439,61,0.848,0.757
42,F,3,Doctorate,Less than $40K,18,5,8668,0,8668,0.275,1402,38,0.31,0
44,M,4,Graduate,$80K - $120K,37,3,14388,2517,11871,0.709,7042,85,0.635,0.175
41,M,2,High School,$40K - $60K,32,3,12804,2517,10287,0.892,1101,37,0.276,0.197
31,M,1,Graduate,Less than $40K,21,3,15261,1109,14152,0.655,15442,125,0.761,0.073
37,F,2,Graduate,Less than $40K,36,4,1734,987,747,0.879,4727,67,0.914,0.569
50,F,3,Uneducated,Less than $40K,41,4,2563,1860,703,0.68,3774,83,0.804,0.726
41,M,4,High School,$60K - $80K,29,3,4573,0,4573,0.703,3776,70,0.944,0
39,F,2,Unknown,Unknown,36,4,8096,1474,6622,0.789,1794,41,0.783,0.182
52,M,3,Graduate,$60K - $80K,36,4,9137,1729,7408,0.974,4626,77,0.75,0.189
44,F,4,Graduate,Less than $40K,36,6,7000,2517,4483,0.475,1112,23,1.875,0.36
43,F,3,College,Less than $40K,31,6,1477,0,1477,0.756,4802,82,0.864,0
57,M,2,Graduate,$120K +,49,6,4698,984,3714,0.373,1865,35,0.458,0.209
52,M,1,Uneducated,$80K - $120K,37,5,2733,1306,1427,0.791,1139,39,0.444,0.478
42,F,3,Graduate,$40K - $60K,36,3,3433,1869,1564,0.838,4504,84,0.787,0.544
51,M,2,Unknown,$120K +,36,5,28600,0,28600,0.506,4336,66,0.61,0
43,F,3,Graduate,$40K - $60K,26,3,2867,0,2867,0.703,2646,41,0.464,0
38,F,3,High School,Less than $40K,26,3,1939,1484,455,0.576,4790,77,0.75,0.765
44,M,5,Unknown,$80K - $120K,32,5,14910,877,14033,0.772,1150,26,0.625,0.059
43,F,3,High School,Less than $40K,36,5,2313,1325,988,0.723,5006,76,0.81,0.573
53,F,1,Post-Graduate,$40K - $60K,43,5,2618,2026,592,0.669,4198,68,0.619,0.774
52,M,1,Graduate,$80K - $120K,43,3,3710,2517,1193,1.541,1578,34,0.7,0.678
37,F,3,Graduate,Less than $40K,36,3,6077,1397,4680,0.834,2837,74,0.609,0.23
30,M,1,Post-Graduate,Less than $40K,17,5,7173,1227,5946,0.646,1793,33,0.737,0.171
36,F,3,Graduate,$40K - $60K,22,1,2013,0,2013,0.602,2425,50,0.923,0
48,M,3,Unknown,$60K - $80K,28,2,9405,0,9405,1.033,4801,47,0.382,0
52,F,0,Doctorate,Unknown,46,6,7210,0,7210,0.769,2516,36,0.8,0
51,F,1,College,$40K - $60K,44,4,1438.3,0,1438.3,0.803,2207,68,0.511,0
53,M,3,Graduate,$60K - $80K,43,5,8404,1498,6906,0.922,4811,56,0.556,0.178
60,F,0,Doctorate,Unknown,41,1,10730,970,9760,0.645,4939,71,0.972,0.09
52,M,3,Uneducated,$80K - $120K,40,6,34516,1757,32759,0.786,4223,81,0.653,0.051
48,M,2,Graduate,$60K - $80K,33,4,2998,1789,1209,0.807,1825,31,0.348,0.597
38,M,4,College,$80K - $120K,27,5,10386,1909,8477,1.43,2119,52,1.08,0.184
64,M,0,Graduate,Less than $40K,36,5,1873,468,1405,1.154,4738,82,0.608,0.25
45,M,4,Graduate,$60K - $80K,37,5,6784,891,5893,1.047,1900,28,0.556,0.131
36,M,3,High School,$120K +,36,3,3404,1568,1836,1.055,2406,65,0.857,0.461
54,M,3,High School,$40K - $60K,44,2,3032,0,3032,0.949,1037,14,2.5,0
44,M,1,Uneducated,$120K +,33,2,34516,1058,33458,0.734,7412,84,0.585,0.031
35,F,3,Uneducated,Less than $40K,26,6,3187,2517,670,1.214,2072,33,0.833,0.79
30,F,1,College,Less than $40K,24,4,3450,2517,933,0.652,2545,64,0.778,0.73
47,M,2,Unknown,$80K - $120K,36,3,9437,2024,7413,0.664,4715,78,0.696,0.214
58,F,1,Uneducated,Unknown,36,5,4784,0,4784,0.905,2160,54,0.929,0
46,F,3,Graduate,Less than $40K,37,6,9013,0,9013,0.597,3819,71,0.614,0
48,F,1,Graduate,$40K - $60K,38,4,3503,1572,1931,0.866,4671,93,0.632,0.449
52,M,2,Doctorate,$80K - $120K,38,4,12878,1628,11250,0.542,1968,59,0.735,0.126
61,M,0,Graduate,$60K - $80K,56,6,9918,850,9068,0.688,2485,40,0.29,0.086
47,M,3,Unknown,$40K - $60K,36,2,2479,1748,731,0.831,8042,85,0.545,0.705
61,F,0,High School,Unknown,51,4,8476,0,8476,0.675,3889,67,0.489,0
57,F,2,Uneducated,Less than $40K,51,3,1614,0,1614,0.241,1690,38,0.357,0
50,M,1,Unknown,$120K +,38,4,34516,2076,32440,0.812,3647,65,0.667,0.06
49,M,3,Unknown,$120K +,44,5,21620,2008,19612,0.691,1300,33,0.5,0.093
60,F,2,Graduate,Less than $40K,36,1,3239,2356,883,0.621,4621,91,0.75,0.727
32,M,1,High School,$60K - $80K,13,3,12616,0,12616,1.054,1376,29,0.611,0
48,M,4,Post-Graduate,$120K +,38,5,34516,1639,32877,0.688,4959,74,0.805,0.047
42,M,5,Graduate,$60K - $80K,27,3,11880,2025,9855,0.835,1789,42,1.471,0.17
53,M,3,College,$120K +,43,4,14938,1155,13783,0.995,2248,51,0.645,0.077
28,M,0,High School,Unknown,21,5,25618,1209,24409,1.228,2157,49,1.882,0.047
45,M,5,High School,$80K - $120K,25,1,25601,1384,24217,0.745,12896,100,0.852,0.054
40,F,4,Post-Graduate,$40K - $60K,31,4,2383,1828,555,0.814,4759,75,0.744,0.767
40,F,2,High School,$40K - $60K,35,2,2544,1713,831,0.696,8006,88,0.571,0.673
53,F,1,Graduate,Less than $40K,39,5,2590,1564,1026,0.386,1188,40,0.6,0.604
44,M,3,Unknown,$80K - $120K,38,3,4198,1782,2416,1.526,2051,36,1,0.424
52,M,1,Graduate,$80K - $120K,36,4,34516,549,33967,0.78,1629,32,0.778,0.016
57,F,2,Graduate,Less than $40K,48,5,2436,680,1756,1.19,1570,29,0.611,0.279
54,F,3,Uneducated,$40K - $60K,49,5,5335,1373,3962,0.558,1435,29,0.611,0.257
53,F,4,Graduate,Less than $40K,36,2,1438.3,0,1438.3,0.314,1739,44,0.467,0
32,F,2,Post-Graduate,$40K - $60K,24,5,1553,1177,376,0.638,4549,68,0.659,0.758
64,F,0,Graduate,Less than $40K,51,6,4920,1142,3778,0.507,1420,31,0.348,0.232
50,F,3,Uneducated,Unknown,30,4,1507,0,1507,0.648,4037,83,0.729,0
39,F,1,Unknown,Less than $40K,35,1,15987,1494,14493,0.731,8438,92,0.84,0.093
46,M,4,Uneducated,$80K - $120K,33,1,13490,1567,11923,0.795,13159,105,0.75,0.116
47,F,4,Graduate,Less than $40K,39,3,1438.3,0,1438.3,0.854,2295,51,0.545,0
43,F,5,Uneducated,$40K - $60K,36,5,2311,1320,991,0.658,3967,71,0.69,0.571
40,F,2,Uneducated,Unknown,36,3,13019,0,13019,0.487,1484,33,0.435,0
36,M,2,College,$80K - $120K,31,5,5821,764,5057,0.688,5291,96,0.684,0.131
47,F,3,Graduate,$40K - $60K,31,6,5496,0,5496,0.548,1913,34,0.308,0
45,M,2,College,$40K - $60K,31,2,6530,1425,5105,0.716,8904,101,0.656,0.218
54,M,4,High School,$80K - $120K,39,1,7773,2465,5308,0.788,4272,69,1.029,0.317
39,M,2,Unknown,$60K - $80K,34,6,5219,1826,3393,1.011,1715,35,1.188,0.35
40,F,4,Unknown,Less than $40K,31,5,1768,1242,526,0.776,4439,65,0.806,0.702
50,M,2,Graduate,$120K +,36,3,34516,1023,33493,1.004,1064,13,0.625,0.03
50,F,0,Uneducated,Less than $40K,42,3,3749,1594,2155,0.738,7990,89,0.534,0.425
48,F,3,Graduate,Less than $40K,36,2,3882,2029,1853,0.751,13980,128,0.707,0.523
46,F,4,Uneducated,$40K - $60K,34,6,2168,1704,464,0.725,4584,92,0.769,0.786
48,M,3,College,$60K - $80K,39,4,13233,1106,12127,0.882,4288,47,0.621,0.084
63,M,0,Doctorate,Less than $40K,54,5,7098,2224,4874,0.864,3465,59,0.788,0.313
51,F,3,Graduate,$40K - $60K,44,4,16406,0,16406,0.627,4075,75,0.63,0
46,M,2,Graduate,$120K +,34,1,24431,892,23539,0.417,3457,66,0.571,0.037
35,M,3,Graduate,$60K - $80K,25,5,5240,1451,3789,1.198,2172,38,0.81,0.277
50,M,3,High School,$80K - $120K,41,2,34516,0,34516,0.627,15059,118,0.735,0
49,F,1,Uneducated,Less than $40K,36,2,1838,0,1838,0.65,5156,72,0.895,0
56,F,3,High School,$40K - $60K,51,5,1438.3,0,1438.3,0.597,594,14,0.556,0
34,F,2,Post-Graduate,Less than $40K,29,2,2509,1897,612,0.938,4837,74,0.542,0.756
51,M,3,Uneducated,$80K - $120K,45,5,21328,0,21328,0.783,3825,76,0.949,0
29,M,0,Unknown,$80K - $120K,14,6,3544,0,3544,0.718,2435,63,1.032,0
46,M,2,Graduate,$120K +,28,1,7790,1921,5869,0.789,14567,131,0.617,0.247
42,M,4,Graduate,$80K - $120K,35,3,18274,1623,16651,0.681,3886,81,0.8,0.089
50,M,2,Uneducated,$120K +,40,5,21794,1368,20426,0.691,15111,116,0.706,0.063
56,F,4,High School,$40K - $60K,36,5,2072,1543,529,0.486,1265,32,0.391,0.745
46,F,2,Unknown,Less than $40K,41,5,1438.3,0,1438.3,0.691,3942,78,1.229,0
46,M,4,College,$80K - $120K,34,5,13734,568,13166,0.719,4283,67,0.861,0.041
41,M,2,Graduate,$60K - $80K,36,2,34516,687,33829,1.015,4822,57,0.295,0.02
50,F,2,College,Unknown,39,2,1438.3,0,1438.3,0.588,1859,41,0.464,0
44,F,3,Graduate,$40K - $60K,38,3,11749,788,10961,0.688,1178,27,0.929,0.067
37,M,3,Uneducated,$40K - $60K,36,3,1696,0,1696,0.857,2095,43,0.536,0
55,F,2,Post-Graduate,Less than $40K,45,3,2163,0,2163,0.816,1349,47,0.88,0
38,M,1,High School,$60K - $80K,32,4,3657,1687,1970,1.357,2758,55,0.833,0.461
48,F,3,Post-Graduate,Unknown,38,6,4025,0,4025,0.887,4445,92,0.673,0
57,M,3,College,$60K - $80K,36,6,10350,0,10350,0.826,3396,63,0.8,0
37,M,4,Graduate,$120K +,28,3,34516,0,34516,0.572,2574,62,0.771,0
57,F,1,High School,Less than $40K,45,5,5330,0,5330,0.515,3525,79,0.837,0
45,F,3,Unknown,Less than $40K,32,5,2329,1465,864,0.815,4286,86,0.72,0.629
54,M,2,Uneducated,$60K - $80K,34,5,6401,1471,4930,0.655,4465,63,0.703,0.23
45,M,3,High School,$40K - $60K,33,3,16928,1519,15409,0.894,3355,66,0.886,0.09
58,M,3,Graduate,$120K +,52,5,17934,1578,16356,0.593,2005,48,0.778,0.088
55,M,2,Graduate,$80K - $120K,47,3,9959,1209,8750,0.548,1584,28,0.273,0.121
36,F,1,Graduate,$40K - $60K,36,5,3635,1617,2018,0.828,4045,62,1.067,0.445
45,M,3,Graduate,$80K - $120K,39,1,8383,0,8383,0.809,2600,44,0.517,0
51,M,2,Graduate,$60K - $80K,36,3,26142,0,26142,0.651,3969,78,0.902,0
45,M,3,Graduate,$60K - $80K,35,3,10290,753,9537,0.858,4326,81,0.761,0.073
38,F,2,High School,$40K - $60K,27,3,1776,1586,190,0.798,4350,71,0.868,0.893
51,F,2,Graduate,Unknown,32,2,34516,531,33985,0.98,5418,65,0.711,0.015
46,F,2,Graduate,Unknown,36,3,2418,1106,1312,0.963,3541,64,0.882,0.457
45,M,2,Graduate,$40K - $60K,41,5,8532,2165,6367,0.707,3242,63,0.75,0.254
43,M,2,High School,$60K - $80K,36,4,6976,0,6976,0.519,1217,39,1.438,0
36,F,1,Post-Graduate,Less than $40K,23,6,3107,2354,753,1.248,2720,48,1.182,0.758
35,M,3,Graduate,$80K - $120K,20,5,8082,2307,5775,0.637,1725,29,1.071,0.285
57,F,2,Unknown,Less than $40K,49,5,2679,2011,668,0.466,1723,28,0.75,0.751
48,F,2,Graduate,Less than $40K,35,2,2216,1262,954,0.497,4763,83,0.66,0.569
51,M,1,Post-Graduate,$120K +,31,2,34516,1991,32525,0.718,7520,79,0.681,0.058
26,M,0,College,Less than $40K,36,5,4150,456,3694,1.126,2483,74,0.542,0.11
46,M,4,High School,$80K - $120K,37,3,15535,1302,14233,0.461,3718,66,0.61,0.084
61,M,0,Uneducated,$80K - $120K,36,4,19354,984,18370,0.956,1207,32,0.684,0.051
52,M,2,High School,$60K - $80K,40,3,23128,1958,21170,0.604,2050,35,0.667,0.085
37,M,5,Post-Graduate,$80K - $120K,26,2,16730,1956,14774,0.675,1740,43,0.536,0.117
43,F,3,College,Less than $40K,30,3,2023,1331,692,0.624,5098,79,0.681,0.658
52,F,1,Post-Graduate,$40K - $60K,48,1,1766,0,1766,0.769,4643,76,0.617,0
50,M,2,Post-Graduate,$80K - $120K,42,6,9873,1276,8597,0.791,4613,82,0.745,0.129
54,M,1,Unknown,$60K - $80K,48,4,4752,1230,3522,0.883,15678,103,0.717,0.259
53,M,2,Unknown,$120K +,49,6,3386,1984,1402,0.573,1318,37,0.194,0.586
51,M,3,Graduate,$80K - $120K,36,6,3610,1554,2056,0.501,2216,34,0.308,0.43
45,F,2,High School,Less than $40K,36,1,15987,2262,13725,0.714,15513,127,0.649,0.141
39,F,1,Uneducated,$40K - $60K,27,3,2821,725,2096,0.704,2397,35,0.296,0.257
47,M,3,Graduate,$120K +,36,6,34516,933,33583,0.946,1804,32,0.6,0.027
45,M,4,Graduate,$60K - $80K,34,6,2731,1868,863,0.533,3915,66,0.65,0.684
38,F,1,Uneducated,Less than $40K,26,5,4345,838,3507,0.593,4770,62,0.722,0.193
30,F,1,Graduate,Less than $40K,36,3,7087,1060,6027,0.709,1712,37,0.609,0.15
55,F,4,College,Unknown,36,5,7790,753,7037,0.968,4835,84,0.826,0.097
57,M,2,High School,$60K - $80K,45,5,33211,0,33211,0.732,3662,81,0.761,0
50,F,4,Graduate,Less than $40K,36,6,2433,1948,485,0.752,4668,69,0.643,0.801
54,F,4,Graduate,Less than $40K,45,6,1990,1747,243,0.924,5216,87,0.891,0.878
41,M,3,College,$60K - $80K,28,6,5841,2463,3378,1.047,3817,81,0.761,0.422
43,M,2,High School,$120K +,36,6,34516,1477,33039,0.324,1868,40,0.212,0.043
50,F,1,Post-Graduate,Unknown,46,2,19349,615,18734,0.708,4351,79,0.717,0.032
26,M,0,College,$40K - $60K,13,5,2047,1196,851,0.623,2180,33,0.941,0.584
35,F,1,Unknown,Less than $40K,36,3,2158,1299,859,0.733,4946,73,0.973,0.602
54,F,2,College,Less than $40K,48,3,2473,1745,728,0.769,4823,72,0.8,0.706
39,F,3,Graduate,Unknown,36,3,1575,592,983,0.236,644,15,0.154,0.376
50,F,0,Graduate,Less than $40K,41,2,3423,0,3423,0.505,2229,45,0.406,0
57,F,3,High School,Unknown,36,1,8389,1960,6429,0.384,1334,38,0.407,0.234
37,M,2,Graduate,Less than $40K,36,6,2463,1751,712,0.854,2171,58,0.758,0.711
